,Name,City,Country,Arena,Capactity,Logo URL,Division,City,State,,,,,,,,,,,,,,,,,,,,
Team,Rockets,Houston,USA,Toyota Center,18055,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Rockets.png,Southwest,Houston,Texas,,,,,,,,,,,,,,,,,,,,
Team,Pacers,Indiana,USA,Bankers Life Fieldhouse,17923,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Pacers.png,Central,Indianapolis,Indiana,,,,,,,,,,,,,,,,,,,,
Team,Clippers,Los Angeles,USA,Staples Center,19060,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Clippers.png,Pacific,Los Angeles,California,,,,,,,,,,,,,,,,,,,,
Team,Lakers,Los Angeles,USA,Staples Center,18997,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Lakers.png,Pacific,Los Angeles,California,,,,,,,,,,,,,,,,,,,,
Team,Grizzlies,Memphis,USA,FedExForum,18119,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Griz.png,Southwest,Memphis,Tennessee,,,,,,,,,,,,,,,,,,,,
Team,Heat,Miami,USA,American Airlines Arena,19600,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Heat.png,Southeast,Miami,Florida,,,,,,,,,,,,,,,,,,,,
Team,Bucks,Milwaukee,USA,Wisconsin Entertainment and Sports Center,17500,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Bucks.png,Central,Milwaukee,Wisconsin,,,,,,,,,,,,,,,,,,,,
Team,Timberwolves,Minnesota,USA,Target Center,18798,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/TWolves.png,Northwest,Minneapolis,Minnesota,,,,,,,,,,,,,,,,,,,,
Team,Pelicans,New Orleans,USA,Smoothie King Center,16867,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Pelicans.png,Southwest,New Orleans,Louisiana,,,,,,,,,,,,,,,,,,,,
Team,Knicks,New York,USA,Madison Square Garden,19812,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Knicks.png,Atlantic,New York,New York,,,,,,,,,,,,,,,,,,,,
Team,Thunder,Oklahoma City,USA,Chesapeake Energy Arena,18203,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Thunder.png,Northwest,Oklahoma City,Oklahoma,,,,,,,,,,,,,,,,,,,,
Team,Magic,Orlando,USA,Amway Center,18846,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Magic.png,Southeast,Orlando,Florida,,,,,,,,,,,,,,,,,,,,
Team,76ers,Philadelphia,USA,Wells Fargo Center,20478,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/6ers.png,Atlantic,Philadelphia,Pennsylvania,,,,,,,,,,,,,,,,,,,,
Team,Suns,Phoenix,USA,Talking Stick Resort Arena,18422,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Suns.png,Pacific,Phoenix,Arizona,,,,,,,,,,,,,,,,,,,,
Team,Trail Blazers,Portland,USA,Moda Center,19393,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Blazers.png,Northwest,Portland,Oregon,,,,,,,,,,,,,,,,,,,,
Team,Kings,Sacramento,USA,Golden 1 Center,17608,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Kings.png,Pacific,Sacramento,California,,,,,,,,,,,,,,,,,,,,
Team,Spurs,San Antonio,USA,AT&T Center,18418,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Spurs.png,Southwest,San Antonio,Texas,,,,,,,,,,,,,,,,,,,,
Team,Raptors,Toronto,Canada,Scotiabank Arena,19800,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Raps.png,Atlantic,Toronto,Ontario,,,,,,,,,,,,,,,,,,,,
Team,Jazz,Utah,USA,Vivint Smart Home Arena,18306,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Jazz.png,Northwest,Salt Lake City,Utah,,,,,,,,,,,,,,,,,,,,
Team,Wizards,Washington,USA,Capital One Arena,20356,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Wizards.png,Southeast,Washincton,D.C,,,,,,,,,,,,,,,,,,,,
NewFranchiseLogo,,,,,,https://raw.githubusercontent.com/timaboderin/NBA_Logos/master/Sonics.png,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,FirstName,Last Name,Position,Age,Height,Weight,Team ID,Defence,TurnOvers,FTA,FTPerc,2PTA,2PTPerc,3PTA,ThreePerc,OffReb,Fame,DefReb,FastBreak,Assists,Personality,Potential,Steals,Blocks,Stamina,Trait,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Atlanta Hawks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Dewayne,Dedmon,C,27,215.6,245,0,76,1.28,2.78,0.75,6.79,0.555,0.07,0.238,2.06,9,4.9,33,0.52,60,80,0.74,1.53,61,,,,
players,Ersan,Ilyasova,PF,29,210.2,235,0,60,0.71,4,0.711,8.09,0.427,2.9,0.414,1.73,34,5.8,57,1.53,65,65,0.98,0.58,62,IH,,,
players,Taurean,Prince,SF,22,201.1,215,0,84.7,2.67,3.75,0.715,7.16,0.444,2.4,0.363,1.18,8,4.96,59,2.18,52,58.8,1.15,0.52,68,,,,
players,Kent,Bazemore,SG,27,198.7,196,0,70,2.02,2.24,0.812,6.78,0.5,4.6,0.362,0.45,16,5.16,46,2.58,97,69,1.46,0.56,72,PT,,,
players,Dennis,Schroeder,PG,23,188.2,170,0,77,3.26,3.12,0.847,10.42,0.463,4.12,0.341,0.43,27,3.26,73,6.7,46,77,1.28,0.14,75,HH,,,
players,John,Collins,PF,20,210.5,235,0,41,1.78,5.03,0.725,7.85,0.533,0.01,0.194,1.29,39,6.5,36,0.51,66,76,0.61,1.14,53,R,,,
players,Marco,Belinelli,SG,30,197.1,215,0,71,1.47,2.46,0.833,7.19,0.476,5.47,0.311,0.47,48,2.56,69,2.88,70,65,0.77,0.21,73,,,,
players,Miles,Plumlee,C,28,213,249,0,61,1.31,1.87,0.576,7.11,0.605,0.07,0.086,3.16,21,5.27,25,0.56,65,71,0.61,1.58,55,,,,
players,Mike,Muscala,PF,25,212.5,240,0,62,1.29,1.6,0.784,6.15,0.577,1.94,0.308,1.65,4,3.6,50,1.69,75,61,0.56,1.1,68,,,,
players,Malcolm,Delaney,PG,27,190.6,190,0,52,2.7,2.2,0.805,6.5,0.44,2.21,0.262,0.33,8,2.43,61,5.1,91,51,1.11,0.06,77,,,,
players,Deandre,Bembry,SF,23,199.2,210,0,47,1.2,1.6,0.612,8.1,0.467,1.62,0.224,0.87,3,3.1,56,2,79,46,0.87,0.43,68,,,,
players,Isaiah,Taylor,PG,22,190.2,168,0,30.7,1.8,4.08,0.807,8.17,0.439,1.2,0.282,0.28,5,1.91,52,4.18,44,46.6,0.86,0.12,62,,,,
players,Tyler,Dorsey,SG,21,193.9,183,0,69,1.44,1.64,0.734,5.08,0.445,2.85,0.379,0.81,2,2.43,61,2.3,80,60,0.56,0.11,79,,,,
players,Luke,Babbitt,SF,27,210.5,225,0,48,0.78,1.71,0.78,7.19,0.447,3.58,0.404,0.78,34,4.16,35,1.71,65,62,0.5,0.16,68,,,,
players,Nicolas,Brussino,SG,24,204,195,0,57,1.44,1.64,0.774,4.08,0.445,3.12,0.317,1.11,2,3.39,60,2.76,80,46,0.48,0.21,68,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Boston Celtics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Al,Horford,C,30,212.5,254,1,78,1.53,1.7,0.79,9.27,0.502,3.16,0.353,1.58,70,5.38,46,5.28,70,67,0.81,1.16,84,,,,
players,Jayson,Tatum,PF,19,205.3,205,1,58,2.54,3.58,0.862,8,0.457,4.4,0.294,1.52,66,4.82,44,1.97,92,53,1.02,0.76,62,R,,,
players,Gordon,Hayward,SF,27,203.5,225,1,81,1.74,4.5,0.844,9.9,0.496,3.83,0.397,0.85,83,4.32,68,3.61,75,74,1.01,0.25,85,SP,,,
players,Marcus,Smart,SG,23,195.1,201,1,73,1.92,3.08,0.807,5.91,0.426,4.56,0.286,1.22,41,2.7,66,4.8,69,66,1.6,0.34,72,PT,,,
players,Kyrie,Irving,PG,25,191.2,193,1,85,2.59,4.13,0.905,14.06,0.489,5.46,0.402,0.83,94,2.17,98,6.13,90,74,1.13,0.31,96,SP,,,
players,Jaylen,Brown,SF,21,201.8,225,1,81,1.6,3.12,0.669,6.7,0.464,2.53,0.342,1.32,30,4.89,61,1.91,74,67,1,0.53,76,,,,
players,Marcus,Morris,PF,27,206,235,1,83,1.09,2.32,0.779,8.93,0.464,3.83,0.338,1.15,59,3.9,47,2.5,65,66,0.64,0.3,66,,,,
players,Semi,Ojeleye,SF,22,201.2,235,1,66,1.41,4.82,0.785,7.65,0.481,4.61,0.401,1.66,21,4.81,59,1.51,73,56,0.4,0.42,77,,,,
players,Shane,Larkin,PG,24,181,176,1,58,2.5,1.84,0.776,7.02,0.46,1.84,0.361,0.53,33,2.5,64,5.79,65,61,1.58,0.26,77,,,,
players,Terry,Rozier,PG,22,186.1,190,1,58,1.1,1.84,0.776,6.02,0.411,3.6,0.341,1,16,4.67,64,3.44,65,64,1.07,0.28,71,,,,
players,Aron,Baynes,C,29,208.5,255,1,78,1.42,3.56,0.764,7.54,0.511,0.07,0.233,3.03,14,5.34,47,1.07,70,72,0.74,1.07,59,IH,,,
players,Guerschon,Yabusele,PF,21,203.6,260,1,72.3,2.13,2.25,0.761,6.83,0.483,1.4,0.352,1.13,6,4.76,34,0.87,70,68,0.55,1.05,61,R,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Brooklyn Nets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Timofey,Mozgov,C,30,216.6,252,2,80,1.44,2,0.806,9.91,0.525,0.16,0.205,2.69,53,6.11,44,1.46,65,62,0.43,0.93,60,IH,,,
players,Rondae,Hollis-Jefferson,PF,22,197.1,222,2,54,1.23,2.47,0.752,6.08,0.461,0.69,0.286,1.58,54,4.28,54,2.06,40,71,1.25,0.66,70,,,,
players,DeMarre,Carroll,SF,30,204.1,224,2,78,0.85,2.02,0.76,6.54,0.483,3.71,0.342,0.62,67,3.72,70,1.24,60,64,1.28,0.5,67,,,,
players,Caris,LaVert,SG,23,201.2,200,2,58,1.73,3,0.79,6.67,0.461,2.74,0.403,0.68,11,3.54,75,4.45,83,62.8,0.92,0.17,81,,,,
players,Dangelo,Russell,PG,23,195.9,232,2,56.7,2.78,3,0.777,8.43,0.446,5.45,0.351,0.72,69.5,2.88,88,4.86,71,67.4,1.42,0.22,85,SP,,,
players,Jeremy,Lin,PG,28,191.1,200,2,53,2.22,4.33,0.815,7.98,0.437,3.39,0.336,0.58,60,2.68,67,3.51,91,68,0.82,0.58,81,IH,,,
players,Allen,Crabbe,SF,25,197.2,210,2,67,0.94,1.65,0.867,6.41,0.49,4.13,0.441,0.4,44,2.83,77,1.51,70,58,0.97,0.26,69,,,,
players,Tyler,Zeller,C,26,215.5,253,2,71,1.76,3.96,0.815,10.72,0.486,0.07,0.119,2.3,18,4.42,43,1.19,70,67,0.47,0.91,55,,,,
players,Jarrett,Allen,C,19,210.5,235,2,41,2.47,4.44,0.564,7.63,0.566,0.01,0.104,1.4,51,6.21,31,0.81,97,60,0.37,1.17,60,R,,,
players,Trevor,Booker,PF,29,205,202,2,54,1.4,1.48,0.67,8.17,0.527,0.7,0.322,2.68,36,5.39,35,1.54,60,68,0.98,0.43,82,,,,
players,Sean,Kilpatrick,SG,27,194,218,2,47,1.54,3.33,0.838,7.64,0.434,4.51,0.342,1.01,46,3.14,74,2.6,40,62,0.67,0.1,68,,,,
players,Joe,Harris,SF,25,199.1,219,2,78,1.3,1.5,0.708,5.97,0.461,3.78,0.385,1.16,20,2.9,69,1.32,96,64,0.78,0.18,75,,,,
players,Isaiah,Whitehead,PG,22,194.9,195,2,52,3.6,3.92,0.764,6.17,0.395,2.66,0.348,0.52,17,2.29,60,4.24,56,64.6,1.31,0.53,60,,,,
players,Spencer,Dinwiddie,PG,24,199.1,200,2,35,1.28,3.33,0.788,5.14,0.475,1.98,0.375,0.96,5,2.54,61,4.07,87,69,0.86,0.48,72,,,,
players,Quincy,Acy,PF,26,203.1,240,2,50,0.91,2.18,0.735,5.75,0.607,1.46,0.388,2,9,3.82,52,0.91,55,66,0.91,0.73,70,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Charlotte Hornets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Dwight,Howard,C,31,212.6,264,3,81,2.34,5.16,0.529,8.56,0.619,0.1,0.086,3.26,68,8.08,58,1.43,98,63,1.02,1.26,75,,,,
players,Marvin,Williams,PF,30,206.5,237,3,87,0.76,1.97,0.873,5.37,0.449,4.01,0.35,1.75,62,4.52,68,1.53,80,65,0.77,0.8,88,,,,
players,Dwayne,Bacon,SF,21,202.9,220,3,79,1.97,4.02,0.754,8.32,0.459,4.38,0.314,0.9,33,3.16,73,1.9,66,56,1.15,0.15,64,R,,,
players,Jeremy,Lamb,SG,24,197.2,185,3,68,1.21,1.97,0.727,7.81,0.526,3.63,0.299,0.91,58,4.13,73,1.73,65,73,0.94,0.76,67,,,,
players,Kemba,Walker,PG,26,187.2,184,3,66,1.86,3.15,0.847,9.4,0.483,5.33,0.39,0.7,78,2.86,93,6.12,85,70,1.15,0.29,90,HH,,,
players,Cody,Zeller,C,24,212.2,240,3,66,1,3.96,0.754,7.33,0.542,0.12,0.1,1.8,30,5.21,32,2.07,55,65,0.99,1.11,66,PT,,,
players,Malik,Monk,SG,19,192.6,200,3,48,2.1,3.17,0.812,8.05,0.43,5.41,0.38,0.42,50.5,1.82,73,2.07,61,80,0.89,0.28,81,R,,,
players,Michael,Kidd-Gilchrest,SF,23,203.1,232,3,68,0.74,4.46,0.78,6.12,0.483,0.42,0.219,1.65,26,4.75,50,1.41,70,75,0.94,0.96,68,,,,
players,Frank,Kaminsky,PF,23,212.2,240,3,88,0.96,2.48,0.73,6.44,0.475,3.44,0.337,1.24,50,4.54,34,1.65,60,71,0.69,0.69,68,,,,
players,Nicolas,Batum,SG,28,205,225,3,72,2.9,2.7,0.859,5.8,0.451,4.9,0.338,0.8,53,5.3,51,4.97,70,67,1.01,0.39,66,,,,
players,Michael,Carter-Williams,PG,25,197.7,185,3,46,2.95,3.16,0.663,7.86,0.407,1.25,0.24,1.15,40,3.23,56,4.47,80,68,1.13,0.47,63,,,,
players,Johnny,O'Bryant III,PF,24,206.6,257,3,57,1.44,1.56,0.644,8.91,0.411,0.18,0.365,1.51,5,5.31,35,1.29,80,57,0.54,0.32,54,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Chicago Bulls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Robin,Lopez,C,29,215,265,4,87,1.06,0.37,0.715,9.28,0.488,0.07,0.224,1.98,51,5.42,53,1.32,70,70,0.28,1.54,73,,,,
players,Nikola,Mirotic,PF,26,209.5,221,4,82,1.83,1.96,0.807,6.33,0.45,3.73,0.342,1.2,25,6.8,52,1.92,69,69,1.15,0.9,68,IH,,,
players,Paul,Zipser,SF,23,204.8,210,4,88,0.82,0.75,0.78,5.5,0.442,1.66,0.329,1.35,54,2.69,54,1,67,39,0.5,0.46,85,,,,
players,Zach,Lavine,SG,22,197.6,183,4,61,1.6,1.96,0.843,8.52,0.507,4.49,0.389,0.59,80,2.44,92,3.01,82,76,0.79,0.17,100,SP,,,
players,Jerian,Grant,PG,24,193.7,204,4,72,1.82,2.65,0.78,6.66,0.447,2.36,0.22,0.75,3.5,1.93,75,4.27,53,63.4,1.21,0.17,61,,,,
players,Justin,Holiday,SG,27,206.1,185,4,70,1.5,1.5,0.815,6.33,0.4,3.29,0.433,0.45,15,2.99,82,2.55,75,57,1.05,0.9,77,,,,
players,Lauri,Markkanen,PF,20,215.6,230,4,40,1.09,4.24,0.829,5.55,0.475,4.37,0.386,1.29,57,5.28,34,0.91,65,55,0.38,0.48,64,R,,,
players,Cameron,Payne,PG,22,190,185,4,65,1.71,0.85,0.792,6.57,0.467,2.8,0.324,0.43,6,2.78,61,4.06,65,85,1.28,0.21,62,,,,
players,Kris,Dunn,PG,23,193.4,205,4,50.7,1.94,1.42,0.635,5.66,0.413,1.6,0.309,0.67,1,2.52,70,4.15,83,84.4,1.56,0.67,70,,,,
players,Denzel,Valentine,SG,23,199.5,223,4,70.3,1.8,1.92,0.777,3.67,0.419,4.06,0.353,0.7,21,3.95,47,4.83,75,66.8,0.88,0.2,62,EX,,,
players,Bobby,Portis,PF,22,210.2,237,4,60,1.41,1.56,0.727,9.35,0.462,1.12,0.308,2.44,6.5,5.97,42,1.07,83,65,0.5,0.63,54,,,,
players,Kay,Felder,PG,21,176.5,176,4,31,2.51,1.67,0.845,6.17,0.436,2.6,0.328,0.7,3,2.12,71,5.23,62,77.4,1.07,0.3,81,,,,
players,Cristiano,Felicio,PF,24,206.5,266,4,43,1.23,3.1,0.683,6.9,0.556,0.35,0.158,2.6,2,5.36,25,1.02,89,57,0.67,0.63,58,,,,
players,Quincy,Pondexter,SF,30,201.5,219,4,52,1.44,1.64,0.734,6.25,0.479,3.52,0.365,1.01,9,2.91,61,1.38,80,41,0.78,0.35,60,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Cleveland Cavaliers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Kevin,Love,C,28,210.1,243,5,78,2.02,4.98,0.872,8.9,0.457,5.88,0.374,1.96,78,8.49,62,1.84,75,68,0.86,0.41,71,,,,
players,Jae,Crowder,PF,26,200,235,5,84,1.13,3.4,0.82,6.43,0.525,5.15,0.336,1.03,42,4.8,68,1.85,60,66,1.08,0.35,75,,,,
players,Lebron,James,SF,32,204.6,250,5,78,3.01,5.67,0.711,13.23,0.563,3.03,0.357,1.5,100,4.56,91,8.18,98,71,1.35,0.6,100,HF,,,
players,Dwyane,Wade,SG,35,193.5,220,5,79,2.3,4.63,0.793,10.35,0.454,2.16,0.311,1.06,90,4,87,4.39,94,71,1.43,0.74,81,HF,,,
players,Isaiah,Thomas,PG,27,175.9,168,5,72,2.74,5.83,0.913,9.04,0.518,6.75,0.383,0.61,86,2.44,94,7.3,75,74,1.12,0.15,89,SP,,,
players,Derrick,Rose,PG,28,192.2,193,5,71,2.26,3.6,0.873,10.67,0.483,0.89,0.241,0.72,72,2.77,81,4.54,70,68,0.72,0.24,80,SP,,,
players,Tristan,Thompson,PF,26,208.1,238,5,89,0.79,2.71,0.506,5.58,0.602,0.01,0.152,3.42,38,5.95,56,0.99,50,71,0.53,1.08,73,PT,,,
players,JR,Smith,SG,31,200.5,225,5,77,0.57,0.44,0.674,4.12,0.4,6.2,0.352,0.78,80,2.53,88,1.78,95,62,1.12,0.39,96,EX,,,
players,Iman,Shumpert,SG,26,195.7,216,5,87,1.36,1.11,0.784,4.22,0.448,3.33,0.295,0.74,42,3.95,68,2.1,70,66,1.23,0.49,78,,,,
players,Jeff,Green,SF,30,206.1,235,5,82,1.47,2.81,0.835,7.51,0.457,3.39,0.287,1.02,62,3.64,64,1.84,60,66,0.82,0.3,67,,,,
players,Kyle,Korver,SG,36,202.5,217,5,78,0.91,0.91,0.843,4.55,0.519,5.74,0.404,0.81,68,3.91,75,2.52,70,62,0.56,0.45,79,,,,
players,Channing,Frye,PF,33,212,255,5,79,0.81,0.98,0.846,6.31,0.494,4.13,0.41,0.81,45,5.02,57,1.07,72,60,0.68,0.65,67,,,,
players,Ante,Zizic,C,19,212.6,240,5,53.7,3.32,3.92,0.699,8.67,0.543,0.07,0.202,1.87,11,5.88,42,0.19,50,66.2,0.47,1.25,54,,,,
players,Jose,Calderon,PG,35,192.2,210,5,56,1.38,0.78,0.875,3.9,0.472,2.8,0.404,0.39,52,3.36,65,5.31,70,66,1.03,0.14,73,CG,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Dallas Mavericks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Dirk,Nowitzki,C,38,213.6,245,6,81,1.13,2.07,0.883,9.34,0.48,3.48,0.378,1.02,74,6.1,51,1.95,84,64,0.7,0.75,60,HF,,,
players,Harrison,Barnes,PF,24,205.5,225,6,77,1.3,3.17,0.861,11.83,0.509,2.41,0.354,1.6,74,4.33,76,1.42,80,74,0.76,0.21,90,PT,,,
players,Dorian,Finney-Smith,SF,24,205.1,220,6,78,0.56,0.67,0.746,4.33,0.43,2.67,0.313,1.05,59,3.48,76,1.46,45,63.2,0.86,0.53,85,,,,
players,Wesley,Matthews,SG,30,197.6,214,6,79,1.35,2.48,0.823,6.87,0.436,4.47,0.365,0.65,65,2.7,88,2.82,80,67,1.03,0.2,97,,,,
players,Dennis,Smith Jr,PG,20,192.6,195,6,53,3.23,3.75,0.722,9,0.444,3.41,0.318,0.57,63,3.38,94,6.29,74,76,1.74,0.26,81,R,,,
players,Yogi,Ferrell,PG,24,185.1,178,6,61,1.58,2,0.879,6.17,0.416,3.6,0.404,0.33,44,2.3,79,4.59,88,58.8,1.12,0.19,88,,,,
players,Seth,Curry,SG,26,189,185,6,65,1.26,1.41,0.853,6.35,0.503,4.14,0.426,0.5,59,2.08,76,2.78,78,69,1.11,0.12,85,,,,
players,Nerlens,Noels,C,23,208.9,228,6,50,1.38,2.05,0.683,7.99,0.584,0.33,0.171,2.04,18,6.51,25,1.49,84,66,0.99,1.35,42,,,,
players,Dwight,Powell,PF,25,212.1,240,6,64,0.62,1.78,0.759,6.97,0.526,0.7,0.273,2.13,30,4.78,40,1.11,66,75,1.25,0.77,55,,,,
players,JJ,Barea,PG,32,182.5,183,6,65,1.97,1.7,0.771,9.09,0.475,4.59,0.385,0.52,33,2.23,64,5.38,70,63,0.52,0.04,70,CG,,,
players,Devin,Harris,PG,34,192.5,192,6,67,1.43,3.15,0.721,5.81,0.545,3.58,0.329,0.43,35,2.72,65,2.58,65,60,1.29,0.29,80,PT,,,
players,Josh,McRoberts,PF,30,210.2,240,6,70,1.32,1.88,0.7,5.39,0.435,2.26,0.245,0.94,27,3.77,42,3.58,75,68,0.75,0.38,62,,,,
players,Jeff,Withey,C,27,218.1,231,6,59,1.02,2.45,0.729,6.52,0.531,0.07,0.148,2.24,5,4.69,33,0.82,65,69,0.58,1.77,46,,,,
players,Salah,Mejri,C,30,214.4,245,6,48,1.74,1.75,0.61,3.63,0.626,0.02,0.084,2.94,1,6.7,24,0.47,73,45,1.21,2.67,41,,,,
players,Johnathan,Motley,PF,21,208,230,6,71,2.86,2.91,0.699,6.95,0.5,0.66,0.249,1.51,17,4.79,38,2.06,72,54,0.38,0.81,53,R,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
// Denver Nuggets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
players,Nikola,Jokic,C,22,210.1,250,7,58,2.33,3.06,0.821,10.67,0.586,1.48,0.323,3.1,54,6.93,18,5.52,45,68,0.76,0.73,45,,,,
players,Paul,Millsap,PF,31,208.1,246,7,81,2.31,4.36,0.756,10.71,0.488,2.79,0.322,1.96,76,5.44,52,3.32,70,65,1.81,1.71,86,,,,
players,Wilson,Chandler,SF,29,204.9,225,7,77,1.59,2.7,0.73,9.86,0.474,4.65,0.338,1.18,43,5.3,58,2,75,60,0.73,0.42,86,,,,
players,Gary,Harris,SG,22,195.1,210,7,67,1.32,2.41,0.78,7.89,0.532,3.64,0.421,0.81,45,2.24,71,2.95,58,73,1.24,0.2,90,,,,
players,Jamal,Murray,PG,20,196.4,201,7,59,2.25,2.58,0.781,7.5,0.482,4.4,0.385,0.93,10,3.89,61,4.45,71,67.2,0.95,0.24,71,PT,,,
players,Tyler,Lydon,PF,21,208,220,7,66,1.68,3.26,0.845,4.67,0.458,3.55,0.374,1.47,37.5,6.17,45,2.13,84,59,0.96,1.34,79,R,,,
players,Will,Barton,SF,26,199.2,175,7,55,1.64,2.71,0.726,8.54,0.475,3.4,0.374,0.77,43,3.81,67,3.48,75,60,0.99,0.55,78,CG,,,
players,Kenneth,Faried,PF,27,204,228,7,74,1.68,3.05,0.693,8.19,0.545,0.07,0.138,3.76,40,6.26,30,1.44,75,68,0.89,0.89,50,PT,,,
